Name,Description,Ocupation Wikidata Ids
BOBBY BROOM,American musician,"musician|""music educator""|"
RUSSELL FERRANTE,American musician,"musician|""music educator""|"
DUANE EUBANKS,American musician,"musician|""music educator""|"
GEORGE GARZONE,American musician,"musician|""music educator""|"
JOSH ROSEMAN,American musician,"musician|""music educator""|"
ROY HARGROVE,American musician,"musician|""trumpeter""|"
MARTY GROSZ,American musician,"musician|""banjoist""|""author""|"
NORMA JEAN,American musician,"musician|""singer""|"
ELANA JAMES,American musician,"musician|""singer""|"
BARBARA MASON,American musician,"musician|""singer""|"
JIMMY STURR,American musician,"musician|""singer""|""saxophonist""|"
JUSTIN GUARINI,American musician,"musician|""singer""|""actor""|"
TAYLOR HICKS,American musician,"musician|""singer""|""singer-songwriter""|"
JAMES MCMURTRY,American musician,"musician|""singer""|""songwriter""|""singer-songwriter""|"
HARRY CHAPIN,American musician,"musician|""singer""|""songwriter""|""singer-songwriter""|"
SCOTT MCCAUGHEY,American musician,"musician|""mandolinist""|"
RHONDA VINCENT,American musician,"musician|""mandolinist""|"
DAROL ANGER,American musician,"musician|""fiddler""|"
ELIJAH WALD,American musician,"musician|""historian""|""music historian""|"
EDDIE GALE,American musician,"musician|""composer""|"
JOHNNY GRIFFIN,American musician,"musician|""composer""|"
HENRY GRIMES,American musician,"musician|""composer""|"
PAUL MOTIAN,American musician,"musician|""composer""|"
BRANFORD MARSALIS,American musician,"musician|""composer""|"
JIMMY HEATH,American musician,"musician|""composer""|"
ERIK SANKO,American musician,"musician|""composer""|"
AARON PARKS,American musician,"musician|""pianist""|"
BRUCE BARTH,American musician,"musician|""pianist""|"
CYRUS CHESTNUT,American musician,"musician|""pianist""|"
GEORGE COLLIGAN,American musician,"musician|""pianist""|"
GIL GOLDSTEIN,American musician,"musician|""pianist""|"
LAMBERT ORKIS,American musician,"musician|""pianist""|"
MARC CARY,American musician,"musician|""pianist""|"
ANDY BEY,American musician,"musician|""pianist""|"
CRAIG TABORN,American musician,"musician|""pianist""|"
MIKE LEDONNE,American musician,"musician|""pianist""|"
ORRIN EVANS,American musician,"musician|""pianist""|"
JAMIE SAFT,American musician,"musician|""pianist""|"
KEVIN HAYS,American musician,"musician|""pianist""|"
FREDERIC CHIU,American musician,"musician|""pianist""|"
KIRK LIGHTSEY,American musician,"musician|""pianist""|"
MATTHEW SHIPP,American musician,"musician|""pianist""|"
JENNY LIN,American musician,"musician|""pianist""|"
DAVID BERKMAN,American musician,"musician|""pianist""|"
DAVID HAZELTINE,American musician,"musician|""pianist""|"
GERALD CLAYTON,American musician,"musician|""pianist""|"
MARC COPLAND,American musician,"musician|""pianist""|"
CLAUDE FRANK,American musician,"musician|""pianist""|""music educator""|"
JOANNE BRACKEEN,American musician,"musician|""pianist""|""music educator""|"
FRED HERSCH,American musician,"musician|""pianist""|""music educator""|"
DOUG WAMBLE,American musician,"musician|""songwriter""|"
PAT DINIZIO,American musician,"musician|""songwriter""|"
JAY LEONHART,American musician,"musician|""songwriter""|"
BENMONT TENCH,American musician,"musician|""songwriter""|"
JOHN BENITEZ,American musician,"musician|""songwriter""|"
CASEY BENJAMIN,American musician,"musician|""songwriter""|""saxophonist""|"
ELVIS PERKINS,American musician,"musician|""songwriter""|""singer-songwriter""|"
LOU CHRISTIE,American musician,"musician|""songwriter""|""singer-songwriter""|"
LARRY CARLTON,American musician,"musician|""guitarist""|""composer""|""music educator""|"
MARCOS HERNANDEZ,American musician,songwriter|
JEN CHAPIN,American musician,"songwriter|""musician""|"
ANNIE RAINES,American musician,"street artist|""musician""|"
SOOZIE TYRELL,American musician,"street artist|""musician""|"
WHIT DICKEY,American musician,"bandleader|""conductor""|"
IRVIN MAYFIELD,American musician,"bandleader|""conductor""|"
WADDY WACHTEL,American musician,"bandleader|""conductor""|""songwriter""|""composer""|"
RODNEY KENDRICK,American musician,"bandleader|""composer""|""conductor""|"
MARLON JORDAN,American musician,"bandleader|""composer""|""conductor""|"
VAN ALEXANDER,American musician,"bandleader|""composer""|""conductor""|"
CHICK WEBB,American musician,"bandleader|""musician""|""conductor""|"
BUSTER WILLIAMS,American musician,"bandleader|""musician""|""conductor""|"
LEW TABACKIN,American musician,"bandleader|""musician""|""conductor""|"
TIA FULLER,American musician,"bandleader|""musician""|""conductor""|""saxophonist""|"
RAY TORO,American musician,guitarist|
SCOTTY MOORE,American musician,guitarist|
SARA LEE,American musician,guitarist|
DAVID STAROBIN,American musician,"guitarist|""music educator""|"
MARC RIBOT,American musician,"guitarist|""banjoist""|"
FRANK IERO,American musician,"guitarist|""singer""|"
ARTO LINDSAY,American musician,"guitarist|""singer""|""composer""|"
LEON RUSSELL,American musician,"guitarist|""singer""|""pianist""|""musician""|""songwriter""|""singer-songwriter""|"
BEN MOODY,American musician,"guitarist|""singer""|""singer-songwriter""|"
KID ROCK,American musician,"guitarist|""singer""|""singer-songwriter""|""musician""|"
TOM PETTY,American musician,"guitarist|""singer""|""singer-songwriter""|""musician""|""composer""|"
CHRIS CARRABBA,American musician,"guitarist|""singer""|""musician""|""singer-songwriter""|"
BILL FRISELL,American musician,"guitarist|""composer""|"
IKE TURNER,American musician,"guitarist|""pianist""|""actor""|""singer-songwriter""|""bandleader""|""conductor""|""singer""|"
RALPH TOWNER,American musician,"guitarist|""pianist""|""composer""|"
JOHN SEBASTIAN,American musician,"guitarist|""singer-songwriter""|""composer""|"
WES MONTGOMERY,American musician,"guitarist|""musician""|""composer""|"
JENNIFER KOH,American musician,
PATRICK KEELER,American musician,
ANDREW GERLE,American musician,
CAROL HALL,American musician,
DAVID MAHLER,American musician,
DON GARDNER,American musician,
KELLER WILLIAMS,American musician,
MARYA MARTIN,American musician,
ROBERT KULEK,American musician,
STEVE KIMOCK,American musician,
BRIAN DEWAN,American musician,
CRAIG FINN,American musician,
DAN MILNER,American musician,
JOE MCGINTY,American musician,
JOHN WIESE,American musician,
KEVIN MAHON,American musician,
LISA SHIHOTEN,American musician,
SAM COOMES,American musician,
BEN CHASNY,American musician,
CARALEE MCELROY,American musician,
GILBERT KALISH,American musician,
HEZEKIAH WALKER,American musician,
JOHN LEVENTHAL,American musician,
MARTHA MASTERS,American musician,
MEG BAIRD,American musician,
RALPH COVERT,American musician,
SPEIGHT JENKINS,American musician,
VAN HUNT,American musician,
NATHAN GOOD,American musician,
GREGG TURKINGTON,American musician,
BETTY ROBBINS,American musician,
CLAIRE CHASE,American musician,
CLARK KENT,American musician,
CRAIG MORRIS,American musician,
DAVID SCHRADER,American musician,
JESSE MURPHY,American musician,
KIMATI DINIZULU,American musician,
ROBBIE FULKS,American musician,
TRACY GRAMMER,American musician,
JENNIFER CHOI,American musician,
LEVON HELM,American musician and actor,"singer|""musician""|""autobiographer""|""composer""|""actor""|""mandolinist""|"
JOSH GROBAN,American musician and actor,"singer|""musician""|""opera singer""|"
SHERYL CROW,American musician and actress,"singer-songwriter|""singer""|""composer""|""pianist""|""actor""|""musician""|""guitarist""|""teacher""|"
CHRIS DAUGHTRY,American musician and Americal Idol contestant,"guitarist|""singer-songwriter""|""singer""|""musician""|"
TANYA HADEN,American musician and aritst,"cellist|""singer""|"
VINCE GIORDANO,American musician and arranger,"bandleader|""conductor""|"
KURT COBAIN,American musician and artist,"guitarist|""singer-songwriter""|""singer""|""author""|""composer""|""musician""|"
MARK NADLER,American musician and comedian,
DAVID VAN TIEGHEM,American musician and composer,composer|
PATRICK ZIMMERLI,American musician and composer,"composer|""saxophonist""|"
TERENCE BLANCHARD,american musician and composer,"composer|""conductor""|""arrangement""|""jazz musician""|"
DARYL HALL,American musician and lead vocalist of Hall & Oates,"musician|""singer""|"
JERRY GARCIA,American musician and member of the Grateful Dead,"guitarist|""singer""|""banjoist""|""musician""|"
MILT HINTON,American musician and photographer,"photographer|""musician""|""author""|"
LINDSEY BUCKINGHAM,American musician and producer| leader of Fleetwood Mac,"guitarist|""singer""|""composer""|""record producer""|""singer-songwriter""|"
FRED HAMMOND,American musician and record producer,musician|
TOMMY DEVITO,American musician and singer,"singer|""musician""|"
JOEY RAMONE,American musician and singer-songwriter,"singer|""singer-songwriter""|"
LAURA NYRO,American musician and songwriter,"singer|""singer-songwriter""|""songwriter""|""pianist""|""composer""|""musician""|"
RICKIE LEE JONES,American musician and songwriter,"singer|""musician""|""songwriter""|""singer-songwriter""|"
PETER BUFFETT,American musician and writer,composer|
HANNAH FRIEDMAN,American musician and writer,
STEWART COPELAND,American musician; drummer of The Police,"composer|""drummer""|"
LAWRENCE WELK,American musician| accordionist| bandleader| and television impresario,"musician|""accordionist""|""bandleader""|""impresario""|""conductor""|"
CHRISTOPHER CERF,American musician| actor and writer,singer|
TUNDE ADEBIMPE,American musician| actor| and director,"actor|""singer""|"
STEVE LASPINA,American musician| artist| educator,musician|
KENNY MELLMAN,American musician| cabaret creator and cabaret performer,singer|
LARRY GOLDINGS,American musician| composer and arranger,"composer|""pianist""|"
ALLEN TOUSSAINT,American musician| composer and record producer,"singer|""pianist""|""composer""|"
ANTHONY BRAXTON,American musician| composer| and philosopher,"pianist|""composer""|""clarinetist""|""music educator""|"
BILLY STRAYHORN,American musician| composer| lyricist and arranger,"pianist|""composer""|"
LYNN GOLDSMITH,American musician| film director and photographer,"film director|""photographer""|"
MAURICE WHITE,American musician| founder of Earth| Wind & Fire,"singer-songwriter|""bandleader""|""composer""|""conductor""|""singer""|""musician""|"
STEPHEN OREMUS,American musician| musical director and orchestrator,
MARK HOPPUS,American musician| record producer| and television host,"guitarist|""singer""|""musician""|"
JIMI HENDRIX,American musician| singer and songwriter,"guitarist|""singer-songwriter""|""singer""|""composer""|""musician""|"
ARETHA FRANKLIN,American musician| singer| songwriter| and pianist,"singer|""singer-songwriter""|""composer""|""musician""|"
DANGER MOUSE,American musician| songwriter and producer,"musician|""singer-songwriter""|""record producer""|""disc jockey""|"
JAMES HETFIELD,American musician| songwriter| record producer and table,"guitarist|""singer-songwriter""|""singer""|""composer""|""musician""|"
EDWARD ROTHSTEIN,American musicologist,musicologist|
VERA CHARLES,American mycologist,mycologist|
DOUG RICHERT,American NASCAR crew chief,
JOEL WOOLDRIDGE,American national champion contract bridge player,bridge player|
STEPHEN HADLEY,American National Security ADvisor,officer|
ROGER TORY PETERSON,American naturalist and ornithologist; writer of field guides,"zoologist|""ornithologist""|"
JOSHUA SLOCUM,American navigator and maritime writer,"explorer|""author""|"
OSCAR ROBERTSON,American NBA player,"basketball player|""basketball coach""|"
MORTON SUBOTNICK,American neo-classical composer and avant-garde electronic musician,"composer|""music educator""|"
ELIOT A. COHEN,American neoconservative military historian,author|
JAMES JACKSON PUTNAM,American neurologist,neurologist|
JEROME B. POSNER,American neurologist,neurologist|
PAUL NUSSBAUM,American neuropsychologist,
PAMELA SKLAR,American neuroscientist,"psychiatrist|""neuroscientist""|"
LOUANN BRIZENDINE,American neuroscientist,"psychiatrist|""neuroscientist""|"
J. ANTHONY MOVSHON,American neuroscientist,neuroscientist|
BEN CARSON,American neurosurgeon,"psychologist|""neurosurgeon""|""politician""|"
MARTHA RADDATZ,American newsmedia personality,war correspondent|
PAUL SALOPEK,American newspaper editor,journalist|
PETER KAPLAN,American newspaper editor,journalist|
ERIK WEMPLE,American newspaper editor,journalist|
TONY BLANKLEY,American newspaper editor| author| commentator| and public relations firm executive,actor|
WILLIAM DEAN SINGLETON,American newspaper publisher,publisher|
OTIS CHANDLER,American newspaper publisher,
WENDY P. MCCAW,American newspaper publisher,
MANNY ROTH,American nightclub owner,
BOOTH TARKINGTON,American novelist,"playwright|""author""|""novelist""|"
TERRY GOODKIND,American novelist,writer|
LEON URIS,American novelist,"writer|""screenwriter""|""author""|""novelist""|"
BRET EASTON ELLIS,American novelist,"writer|""screenwriter""|""author""|""novelist""|"
ARTHUR GOLDEN,American novelist,"writer|""author""|""novelist""|"
ANNE TYLER,American novelist,"writer|""author""|""novelist""|"
THOMAS PYNCHON,American novelist,"writer|""author""|""novelist""|""essayist""|"
AMY TAN,American novelist,"writer|""author""|""novelist""|""essayist""|"
JOHN KENNEDY TOOLE,American novelist,"writer|""author""|""novelist""|""soldier""|""professor""|"
THOMAS MCGUANE,American novelist,"writer|""novelist""|"
NICOLE KRAUSS,American novelist,"woman of letters|""novelist""|"
WALTER KIRN,American novelist,author|
JULIA QUINN,American novelist,author|
DOROTHY UHNAK,American novelist,"author|""novelist""|"
DARA HORN,American novelist,"author|""novelist""|"
MALCOLM COWLEY,American novelist,"author|""novelist""|""journalist""|"
PETER MATTHIESSEN,American novelist,"author|""novelist""|""writer""|"
STUART WOODS,American novelist,novelist|
KATHARINE WEBER,American novelist,novelist|
HILMA WOLITZER,American novelist,novelist|
MEGAN MCCAFFERTY,American novelist,novelist|
MARIO PUZO,American Novelist,"novelist|""screenwriter""|""author""|""writer""|"
WILLIAM STYRON,American novelist and essayist,"officer|""author""|""novelist""|""autobiographer""|""writer""|"
DIANE JOHNSON,American novelist and essayist,"screenwriter|""author""|""novelist""|"
MARILYNNE ROBINSON,American novelist and essayist,"writer|""author""|""novelist""|""essayist""|"
MARGE PIERCY,American novelist and poet,"writer|""poet""|""author""|""novelist""|"
ELMORE LEONARD,American novelist and screenwriter,"screenwriter|""writer""|""novelist""|""author""|"
BUDD SCHULBERG,American novelist and screenwriter,"screenwriter|""author""|""novelist""|""writer""|"
TOM PERROTTA,American novelist and screenwriter,"writer|""screenwriter""|""author""|""novelist""|"
JOHN CHEEVER,American novelist and short story writer,"writer|""author""|""novelist""|"
NATHANIEL HAWTHORNE,American novelist and short story writer (1804 – 1864),"writer|""diplomat""|""author""|""novelist""|"
WILLIAM J. MANN,American novelist| biographer| and Hollywood historian,"writer|""historian""|""journalist""|"
EMILY BARTON,American novelist| critic| academic,novelist|
LARRY MCMURTRY,American novelist| essayist| bookseller and screenwriter,"screenwriter|""historian""|""author""|""novelist""|""essayist""|"
NORMAN MAILER,American novelist| journalist| essayist| playwright| film maker| actor and political candidate,"journalist|""actor""|""film director""|""screenwriter""|""author""|""novelist""|""essayist""|""writer""|""playwright""|"
RALPH ELLISON,American novelist| literary critic| scholar and writer,"writer|""essayist""|""author""|""novelist""|""autobiographer""|"
JONATHAN AMES,American novelist| memoirist,"novelist|""essayist""|""writer""|"
DON DELILLO,American novelist| playwright and essayist,"writer|""playwright""|""screenwriter""|""author""|""novelist""|""essayist""|"
JOHN UPDIKE,American novelist| poet| short story writer| art critic| and literary critic,"poet|""writer""|""author""|""novelist""|""essayist""|"
ANNIE PROULX,American novelist| short story and non-fiction author,"writer|""screenwriter""|""author""|""novelist""|""journalist""|"
SARAH ORNE JEWETT,American novelist| short story writer and poet,"writer|""author""|""novelist""|"
REBECCA GOLDSTEIN,American novelist| short story writer| biographer| philosopher,"author|""philosopher""|"
EDITH WHARTON,American novelist| short story writer| designer,"writer|""author""|""novelist""|"
HERMAN MELVILLE,American novelist| short story writer| essayist| and poet,"teacher|""sailor""|""lecturer""|""poet""|""writer""|""author""|""novelist""|""essayist""|"
WILLIAM S. BURROUGHS,American novelist| short story writer| essayist| painter| and spoken word performer,"writer|""poet""|""author""|""novelist""|""essayist""|""painter""|"
SINCLAIR LEWIS,American novelist| short-story writer| and playwright,"novelist|""playwright""|""author""|""writer""|"
UPTON SINCLAIR,American novelist| writer| journalist| political activist,"journalist|""novelist""|""film producer""|""writer""|"
JAMES VAN ALLEN,American nuclear physicist,"physicist|""astronomer""|"
PETER A. BRADFORD,American nuclear Regulatory Commissioner,
LILLIAN WALD,American nurse and activist,"nurse|""social worker""|"
WALTER WILLETT,American nutritionist,"physician|""nutritionist""|"
JULIE MYERS,American official,
LEON HESS,American oil executive| sports franchise owner,
A. J. KITT,American Olympic ski racer,alpine skier|
SAMUEL WAXMAN,American oncologist,oncologist|
DAVID GOCKLEY,American opera administrator,
FRANCESCA ZAMBELLO,American opera and theatre director,theatre director|
MIKEL ROUSE,American opera composer,composer|
JAKE HEGGIE,American opera composer and pianist,composer|
PETER G. DAVIS,American opera critic| who wrote for The New York Times|New York magazine|The Times; author of book|The American Opera Singer.,music critic|
JOSEPH VOLPE,American opera manager,
JOYCE DIDONATO,American opera mezzo-soprano,"singer|""opera singer""|"
KELLY KADUCE,American opera singer,singer|
JESSYE NORMAN,American opera singer,"singer|""opera singer""|"
DOLORA ZAJICK,American opera singer,"singer|""opera singer""|"
STEPHANIE BLYTHE,American opera singer,"singer|""opera singer""|"
GREGORY KUNDE,American opera singer,"singer|""opera singer""|"
ARIANNA ZUKERMAN,American opera singer,"singer|""opera singer""|"
GREER GRIMSLEY,American opera singer,"singer|""opera singer""|"
MARK DELAVAN,American opera singer,"singer|""opera singer""|"
MARY DUNLEAVY,American opera singer,"singer|""opera singer""|"
JAMES MADDALENA,American opera singer,"singer|""opera singer""|"
MATTHEW POLENZANI,American opera singer,"singer|""opera singer""|"
SANFORD SYLVAN,American opera singer,"singer|""opera singer""|"
DWAYNE CROFT,American opera singer,"singer|""opera singer""|"
THOMAS MEGLIORANZA,American opera singer,"singer|""opera singer""|"
VINSON COLE,American opera singer,"singer|""opera singer""|""music educator""|"
GREG FEDDERLY,American opera singer,opera singer|
JAMES VALENTI,American opera singer,opera singer|
ERIC CUTLER,American opera singer,opera singer|
ROBERT BREAULT,American opera singer,"opera singer|""music educator""|"
NEIL SHICOFF,American opera singer,"opera singer|""singer""|"
STEPHEN GOULD,American opera singer,"opera singer|""musician""|""singer""|"
KATHLEEN BATTLE,American opera singer,"musician|""singer""|""opera singer""|"
PATRICIA RACETTE,American opera soprano,"singer|""opera singer""|"
LAWRENCE BROWNLEE,American opera tenor,"singer|""opera singer""|"
ISABEL LEONARD,American operatic mezzo-soprano,"singer|""opera singer""|"
DENYCE GRAVES,American operatic mezzo-soprano,"singer|""opera singer""|""music educator""|"
APRILE MILLO,American operatic soprano,"singer|""opera singer""|"
DEBORAH VOIGT,American operatic soprano,"musician|""singer""|""opera singer""|"
EVELYN LEAR,American operatic soprano,"musician|""singer""|""opera singer""|"
HANAN ALATTAR,American operatic soprano and actress,"actor|""singer""|""opera singer""|"
JOHN EASTERLIN,American operatic tenor,"singer|""opera singer""|"
FRANK LOPARDO,American operatic tenor,"singer|""opera singer""|"
JIMMY MCGRIFF,American organist,musician|
GORDON TURK,American organist,organist|
JOHN GINTY,American organist,
JON KRAKAUER,American outdoors writer and journalist,"journalist|""explorer""|""author""|""writer""|"
JOHN SINGER SARGENT,American painter,painter|
MARK ROTHKO,American painter,painter|
WINSLOW HOMER,American painter,painter|
RICHARD DIEBENKORN,American painter,painter|
HOWARDENA PINDELL,American painter,painter|
RACHEL KHEDOORI,American painter,painter|
JACOB LAWRENCE,American painter,painter|
ELAINE DE KOONING,American painter,painter|
AMY SILLMAN,american painter,painter|
KERRY JAMES MARSHALL,American painter,painter|
MILTON RESNICK,American painter,painter|
ELLEN ALTFEST,American painter,painter|
WILLIAM MERRITT CHASE,American painter,painter|
CHILDE HASSAM,American painter,painter|
RALPH EARL,American painter,painter|
ROBERT COLESCOTT,American painter,painter|
JANE WILSON,American painter,painter|
KAY ROSEN,American painter,painter|
MIA BROWNELL,American painter,painter|
ASHER BROWN DURAND,American painter,painter|
JOAN MITCHELL,American painter,painter|
SANFORD ROBINSON GIFFORD,American painter,painter|
ARTHUR DOVE,American painter,painter|
JASPER FRANCIS CROPSEY,American painter,painter|
JOHN STEUART CURRY,American painter,painter|
DAN WALSH,American painter,painter|
LISA YUSKAVAGE,American painter,painter|
MARK WIENER,American painter,painter|
RICHARD NUNEZ,American painter,painter|
SUSANNA COFFEY,American painter,painter|
THOMAS EAKINS,American painter,"painter|""sculptor""|""photographer""|"
DAMIAN LOEB,American painter,"painter|""photographer""|"
CHARLES DEMUTH,American painter,"painter|""photographer""|"
ALBERT PINKHAM RYDER,American painter,"painter|""artist""|"
GEORGE BELLOWS,American painter,"painter|""artist""|"
FRANZ KLINE,American painter,"painter|""artist""|"
MAXFIELD PARRISH,American painter,"painter|""illustrator""|"
LAWRENCE WEINER,American painter,"artist|""painter""|"
JEANNETTE GENIUS MCKEAN,American painter and interior decorator,painter|
MARY CASSATT,American painter and printmaker,"painter|""artist""|"
THOMAS KINKADE,American painter of popular realistic| bucolic| and idyllic subjects,"painter|""artist""|"
JAMES DAUGHERTY,American painter| children's writer,"writer|""painter""|"
KARI MILLER,American Paralympic volleyballer,
JOHN HAGELIN,American particle physicist,physicist|
ROD PARSLEY,American pastor,minister|
JAY BAKKER,American pastor,pastor|
JOEL HUNTER,American pastor,
HELENE D. GAYLE,American pediatric and humanitarian,
HARRY BAKWIN,American pediatrician,art collector|
BENJAMIN SPOCK,American pediatrician and author of Baby and Child Care,"physician|""officer""|""rower""|""educationist""|"
ANDREA FRASER,American performance artist,artist|
JOHN ZIBELL,American performance artist/scholar,actor|
CARL HANCOCK RUX,American performer| writer and artist,"novelist|""artist""|"
IRVING AZOFF,American personal manager,
ENID A. HAUPT,American philanthropist,philanthropist|
LAWRENCE WIEN,American philanthropist,"lawyer|""Real estate entrepreneur""|"
URSULA MERKIN,American philanthropist,"novelist|""teacher""|"
ALAN WURTZEL,American philanthropist,
ANDREA BRONFMAN,American philanthropist,
ANNETTE DE LA RENTA,American philanthropist,
JOSEPH GURWIN,American philanthropist,
TODD WAGNER,American philanthropist,
JOHN S. RUSKAY,American philanthropist,
MARYLOU WHITNEY,American philanthropist,
ROSE KENNEDY,American philanthropist and mother of John F. Kennedy,
GEORGE KRAMER,American philatelist,
JAMES BURNHAM,American philosopher,sociologist|
TOMMIE SHELBY,American philosopher,"writer|""philosopher""|"
DEBORAH MAYO,American philosopher,philosopher|
DANIEL DENNETT,American philosopher,"philosopher|""writer""|"
RICHARD RORTY,American philosopher,"philosopher|""author""|""educationist""|"
ALLAN BLOOM,American philosopher| classicist| and academician,"political scientist|""philosopher""|"
NICHOLAS MURRAY BUTLER,American philosopher| diplomat| and educator,"philosopher|""politician""|"
RALPH WALDO EMERSON,American philosopher| essayist| and poet,"philosopher|""poet""|""writer""|""author""|""essayist""|"
JOHN DEWEY,American philosopher| psychologist| and educational reformer,"philosopher|""psychologist""|""educationist""|"
MATHEW BRADY,American photographer,photographer|
WILLIAM EGGLESTON,American photographer,photographer|
SAUL LEITER,American photographer,photographer|
ARNOLD NEWMAN,American photographer,photographer|
PAUL OUTERBRIDGE,American photographer,photographer|
O. WINSTON LINK,American photographer,photographer|
ROY DECARAVA,American photographer,photographer|
CHERYL MACHAT DORSKIND,American photographer,photographer|
HENRY CHALFANT,American photographer,photographer|
JEFF LIPSKY,American photographer,photographer|
LORNA SIMPSON,American photographer,photographer|
OZIER MUHAMMAD,American photographer,photographer|
RUDY BURCKHARDT,American photographer,photographer|
HENRI SILBERMAN,American photographer,photographer|
KATY GRANNAN,American photographer,photographer|
STUART ROME,American photographer,photographer|
IMOGEN CUNNINGHAM,American photographer,photographer|
IRVING PENN,American photographer,photographer|
GREGORY CREWDSON,American photographer,photographer|
HARRY CALLAHAN,American photographer,photographer|
MITCH EPSTEIN,American photographer,photographer|
DAVID LEVINTHAL,American photographer,photographer|
CARRIE MAE WEEMS,American photographer,photographer|
CATHERINE JANSEN,American photographer,photographer|
JAMES WELLING,American photographer,photographer|
MARK FELDSTEIN,American photographer,photographer|
VICTOR JORGENSEN,American photographer,photographer|
DUANE MICHALS,American photographer,photographer|
HERMAN LEONARD,American photographer,photographer|
TOD PAPAGEORGE,American photographer,photographer|
PETER HUJAR,American photographer,photographer|
DAVID HUME KENNERLY,American photographer,photographer|
CARLETON WATKINS,American photographer,photographer|
JAMES CASEBERE,American photographer,photographer|
CHRISTOPHER MAKOS,American photographer,photographer|
GEORGE TICE,American photographer,photographer|
LARRY FINK,American photographer,photographer|
LOIS GREENFIELD,American photographer,photographer|
MARK WEISS,American photographer,photographer|
NAT FEIN,American photographer,photographer|
POLLY CHANDLER,American photographer,photographer|
EILEEN QUINLAN,American photographer,photographer|
SARA VANDERBEEK,American photographer,photographer|
LISETTE MODEL,American photographer,photographer|
GARRY WINOGRAND,American photographer,photographer|
ANNIE LEIBOVITZ,American photographer,photographer|
NAN GOLDIN,American photographer,photographer|
RICHARD AVEDON,American photographer,photographer|
JOEL MEYEROWITZ,American photographer,photographer|
ALVIN LANGDON COBURN,American photographer,photographer|
LOUISE LAWLER,American photographer,photographer|
STEPHEN SHORE,American photographer,photographer|
LARRY SULTAN,American photographer,photographer|
CATHERINE CHALMERS,American photographer,photographer|
EDWARD CARABALLO,American photographer,photographer|
ERIC MEOLA,American photographer,photographer|
FRED W. MCDARRAH,American photographer,photographer|
JUSTINE KURLAND,American photographer,photographer|
RICHARD MISRACH,American photographer,photographer|
JAMEL SHABAZZ,American photographer,photographer|
SHERRIE LEVINE,American photographer,"photographer|""painter""|"
ROY STRYKER,American photographer,"photographer|""librarian""|"
JOHN G. MORRIS,American photographer,"photographer|""journalist""|"
HELEN LEVITT,American photographer,"photographer|""cinematographer""|"
ROBERT MAPPLETHORPE,American photographer,"photographer|""film director""|"
CINDY SHERMAN,American photographer,"photographer|""film director""|"
BERT STERN,American photographer,"photographer|""writer""|"
JULIUS SHULMAN,American photographer,"photographer|""architect""|"
ALFRED STIEGLITZ,American photographer,"photographer|""author""|""curator""|""publisher""|"
RACHEL HARRISON,American photographer,"photographer|""artist""|"
ROSALIND SOLOMON,American photographer,"photographer|""artist""|"
WILLIAM WEGMAN,American photographer,"photographer|""artist""|"
JACK PIERSON,American photographer,"photographer|""artist""|"
ELLEN BROOKS,American photographer,"photographer|""artist""|"
DIANE ARBUS,American photographer and author,photographer|
WALTER WICK,American photographer and creator of children's books,photographer|
ANSEL ADAMS,American photographer and environmentalist,"photographer|""pianist""|""writer""|""author""|""mountaineer""|"
LAUREN GREENFIELD,American photographer and filmmaker,"journalist|""photographer""|""cineaste""|""film director""|"
CAM ARCHER,American photographer and filmmaker,"screenwriter|""film director""|""photographer""|"
SUZANNE FIOL,American photographer and impresario,photographer|
GERARD MALANGA,American photographer and poet,"poet|""photographer""|""author""|""actor""|""writer""|""director""|"
IRA COHEN,American photographer and writer,"photographer|""poet""|""film director""|""writer""|""actor""|"
EDWARD STEICHEN,American photographer| artist| and art curator,"photographer|""painter""|"
TANA HOBAN,American photographer| creator of children's picture books,"photographer|""writer""|"
PATRICK MCMULLAN,American photographer| writer| personality,photographer|
JOEL STERNFELD,American photography,photographer|
DOROTHEA LANGE,American photojournalist,"journalist|""photographer""|""artist""|"
ARTHUR ROTHSTEIN,American photojournalist,photographer|
HARVEY V. FINEBERG,American physician,epidemiologist|
BILLY GOLDBERG,American physician,medical writer|
ANDREW VON ESCHENBACH,American physician,officer|
GEORGE MINOT,American physician,"physician|""internist""|"
BRIAN MONAHAN,American physician,military physician|
LOUIS CATALDIE,American physician,
JOHN W. ROWE,American physician,
MICHAEL MCGINNIS,American physician,
AHVIE HERSKOWITZ,American physician,
TIMOTHY E. QUILL,American physician,
ALLAN ROSENFIELD,American physician,
MARK HYMAN,American physician and medical writer,medical writer|
HAWLEY HARVEY CRIPPEN,American physician| salesman| murderer,
LAWRENCE M. KRAUSS,American physicist,"astronomer|""physicist""|""astrophysicist""|""author""|"
DANIEL FRIEDAN,American physicist,physicist|
JAMES HANSEN,American physicist,physicist|
GERALD FEINBERG,American physicist,physicist|
EVA SILVERSTEIN,American physicist,physicist|
JACK COVER,American physicist,physicist|
DAVID MERMIN,American physicist,physicist|
HERBERT FRIEDMAN,American physicist,physicist|
ROBERT GUNDLACH,American physicist,physicist|
ANDREW STROMINGER,American physicist,physicist|
MICHAEL D. GRIFFIN,American physicist and aerospace engineer,"aerospace engineer|""physicist""|""politician""|"
ROGER KELLAWAY,American pianist,composer|
BOBBY TIMMONS,American pianist,"composer|""pianist""|"
FREDDIE REDD,American pianist,"composer|""pianist""|"
